envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	33000	-15000	105000	-15000	105000	-15000	
6	30000	-18000	102000	-18000	102000	-18000	
7	75000	-21000	99000	99000	99000	99000	
8	72000	-24000	96000	96000	96000	96000	
9	93000	93000	93000	93000	93000	93000	
10	90000	90000	90000	90000	90000	90000	
11	87000	87000	87000	87000	87000	87000	
12	84000	84000	84000	84000	84000	84000	
13	81000	81000	81000	81000	81000	81000	
14	78000	78000	78000	78000	78000	78000	
15	75000	75000	75000	75000	75000	75000	
16	72000	72000	72000	72000	72000	72000	
17	69000	69000	69000	69000	69000	69000	
18	66000	66000	66000	66000	66000	66000	
19	87000	183000	63000	63000	63000	63000	
20	84000	180000	60000	60000	60000	60000	
21	81000	177000	57000	57000	57000	57000	
22	78000	174000	54000	54000	54000	54000	
23	75000	171000	51000	51000	51000	51000	
24	72000	168000	48000	48000	48000	48000	
25	69000	165000	45000	45000	45000	45000	
26	90000	162000	42000	42000	162000	42000	
27	111000	159000	159000	39000	159000	39000	
28	108000	156000	156000	36000	156000	36000	
29	105000	153000	153000	33000	153000	33000	
30	102000	150000	150000	30000	150000	30000	
31	99000	147000	147000	27000	147000	27000	
32	120000	144000	144000	24000	144000	144000	
33	117000	141000	141000	21000	141000	141000	
34	114000	138000	138000	18000	138000	138000	
35	135000	135000	135000	135000	135000	135000	
36	132000	132000	132000	132000	132000	132000	
37	129000	129000	129000	129000	129000	129000	
38	126000	126000	126000	126000	126000	126000	
39	123000	123000	123000	123000	123000	123000	
40	120000	120000	120000	120000	120000	120000	
41	117000	117000	117000	117000	117000	117000	
42	114000	114000	114000	114000	114000	114000	
43	135000	111000	111000	111000	111000	231000	
44	132000	108000	108000	108000	108000	228000	
45	129000	105000	105000	105000	105000	225000	
46	126000	102000	102000	102000	102000	222000	
47	147000	219000	99000	99000	99000	219000	
48	168000	216000	96000	216000	96000	216000	
49	165000	213000	93000	213000	93000	213000	
50	186000	210000	90000	210000	210000	210000	
51	183000	207000	87000	207000	207000	207000	
52	180000	204000	84000	204000	204000	204000	
53	177000	201000	81000	201000	201000	201000	
54	198000	198000	198000	198000	198000	198000	
55	195000	195000	195000	195000	195000	195000	
56	192000	192000	192000	192000	192000	192000	
57	213000	189000	189000	309000	189000	189000	
58	210000	186000	186000	306000	186000	186000	
59	231000	303000	183000	303000	183000	183000	
60	252000	3e+05	180000	420000	180000	180000	
61	273000	297000	177000	417000	297000	177000	
62	270000	294000	174000	414000	294000	174000	
63	315000	291000	291000	411000	411000	171000	
64	336000	288000	408000	408000	408000	168000	
65	333000	285000	405000	405000	405000	165000	
66	402000	402000	522000	402000	402000	282000	
67	447000	519000	519000	399000	399000	399000	
68	444000	516000	516000	396000	396000	396000	
69	441000	513000	513000	393000	393000	393000	
70	462000	510000	510000	390000	390000	510000	
71	483000	627000	507000	387000	387000	507000	
72	480000	624000	504000	384000	384000	504000	
73	477000	621000	501000	381000	381000	501000	
74	474000	618000	498000	378000	378000	498000	
75	495000	615000	615000	375000	375000	495000	
76	492000	612000	612000	372000	372000	492000	
77	513000	609000	729000	369000	369000	489000	
78	558000	606000	846000	486000	366000	486000	
79	579000	603000	843000	483000	483000	483000	
