envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	6000	-18000	-18000	-18000	102000	-18000	
7	3000	-21000	-21000	-21000	99000	-21000	
8	0	-24000	-24000	-24000	96000	-24000	
9	21000	-27000	-27000	-27000	93000	93000	
10	42000	-30000	-30000	90000	90000	90000	
11	63000	-33000	87000	87000	87000	87000	
12	60000	-36000	84000	84000	84000	84000	
13	57000	-39000	81000	81000	81000	81000	
14	54000	-42000	78000	78000	78000	78000	
15	75000	-45000	75000	75000	75000	195000	
16	72000	-48000	72000	72000	72000	192000	
17	93000	69000	69000	69000	69000	189000	
18	90000	66000	66000	66000	66000	186000	
19	87000	63000	63000	63000	63000	183000	
20	84000	60000	60000	60000	60000	180000	
21	105000	57000	57000	57000	177000	177000	
22	102000	54000	54000	54000	174000	174000	
23	147000	171000	171000	51000	171000	171000	
24	144000	168000	168000	48000	168000	168000	
25	165000	165000	165000	45000	165000	285000	
26	162000	162000	162000	42000	162000	282000	
27	183000	159000	279000	39000	159000	279000	
28	204000	156000	276000	36000	276000	276000	
29	201000	153000	273000	33000	273000	273000	
30	222000	150000	390000	30000	270000	270000	
31	219000	147000	387000	27000	267000	267000	
32	216000	144000	384000	24000	264000	264000	
33	237000	141000	381000	141000	261000	261000	
34	234000	138000	378000	138000	258000	258000	
35	231000	135000	375000	135000	255000	255000	
36	228000	132000	372000	132000	252000	252000	
37	225000	129000	369000	129000	249000	249000	
38	222000	126000	366000	126000	246000	246000	
39	243000	123000	363000	243000	243000	243000	
40	264000	120000	360000	240000	360000	240000	
41	285000	117000	357000	237000	357000	357000	
42	282000	114000	354000	234000	354000	354000	
43	279000	111000	351000	231000	351000	351000	
44	3e+05	108000	468000	228000	348000	348000	
45	321000	225000	465000	225000	345000	345000	
46	342000	342000	462000	222000	342000	342000	
47	339000	339000	459000	219000	339000	339000	
48	360000	336000	456000	216000	336000	456000	
49	357000	333000	453000	213000	333000	453000	
50	378000	330000	450000	210000	330000	570000	
51	399000	327000	447000	207000	447000	567000	
52	396000	324000	444000	204000	444000	564000	
53	393000	321000	441000	201000	441000	561000	
54	390000	318000	438000	198000	438000	558000	
55	387000	315000	435000	195000	435000	555000	
56	384000	312000	432000	192000	432000	552000	
57	405000	429000	429000	189000	429000	549000	
58	426000	426000	426000	306000	426000	546000	
59	423000	423000	423000	303000	423000	543000	
60	444000	540000	420000	3e+05	420000	540000	
61	465000	537000	417000	297000	417000	657000	
62	486000	534000	414000	294000	414000	774000	
63	483000	531000	411000	291000	411000	771000	
64	480000	528000	408000	288000	408000	768000	
65	501000	525000	405000	285000	405000	885000	
66	522000	522000	402000	402000	402000	882000	
67	519000	519000	399000	399000	399000	879000	
68	516000	516000	396000	396000	396000	876000	
69	513000	513000	393000	393000	393000	873000	
70	582000	510000	510000	510000	390000	990000	
71	627000	507000	507000	507000	507000	1107000	
72	648000	504000	504000	504000	504000	1224000	
73	645000	501000	501000	501000	501000	1221000	
74	642000	498000	498000	498000	498000	1218000	
75	639000	495000	495000	495000	495000	1215000	
76	636000	492000	492000	492000	492000	1212000	
77	633000	489000	489000	489000	489000	1209000	
78	654000	486000	606000	486000	486000	1206000	
