envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	-21000	-21000	-21000	-21000	-21000	-21000	
8	-24000	-24000	-24000	-24000	-24000	-24000	
9	-27000	-27000	-27000	-27000	-27000	-27000	
10	-6000	90000	-30000	-30000	-30000	-30000	
11	15000	87000	-33000	87000	-33000	-33000	
12	36000	84000	-36000	84000	-36000	84000	
13	81000	81000	81000	81000	81000	81000	
14	78000	78000	78000	78000	78000	78000	
15	75000	75000	75000	75000	75000	75000	
16	72000	72000	72000	72000	72000	72000	
17	69000	69000	69000	69000	69000	69000	
18	90000	66000	66000	186000	66000	66000	
19	87000	63000	63000	183000	63000	63000	
20	84000	60000	60000	180000	60000	60000	
21	81000	57000	57000	177000	57000	57000	
22	102000	174000	54000	174000	54000	54000	
23	99000	171000	51000	171000	51000	51000	
24	96000	168000	48000	168000	48000	48000	
25	93000	165000	45000	165000	45000	45000	
26	90000	162000	42000	162000	42000	42000	
27	87000	159000	39000	159000	39000	39000	
28	84000	156000	36000	156000	36000	36000	
29	105000	153000	33000	153000	33000	153000	
30	102000	150000	30000	150000	30000	150000	
31	99000	147000	27000	147000	27000	147000	
32	144000	264000	144000	144000	24000	144000	
33	165000	261000	141000	141000	141000	141000	
34	162000	258000	138000	138000	138000	138000	
35	159000	255000	135000	135000	135000	135000	
36	156000	252000	132000	132000	132000	132000	
37	153000	249000	129000	129000	129000	129000	
38	150000	246000	126000	126000	126000	126000	
39	171000	243000	123000	243000	123000	123000	
40	168000	240000	120000	240000	120000	120000	
41	237000	237000	237000	357000	237000	117000	
42	234000	234000	234000	354000	234000	114000	
43	255000	231000	231000	351000	231000	231000	
44	252000	228000	228000	348000	228000	228000	
45	249000	225000	225000	345000	225000	225000	
46	270000	342000	222000	342000	222000	222000	
47	291000	339000	339000	339000	219000	219000	
48	288000	336000	336000	336000	216000	216000	
49	309000	453000	333000	333000	213000	213000	
50	306000	450000	330000	330000	210000	210000	
51	327000	447000	327000	327000	207000	327000	
52	348000	444000	444000	324000	204000	324000	
53	369000	441000	441000	441000	201000	321000	
54	366000	438000	438000	438000	198000	318000	
55	411000	435000	435000	555000	315000	315000	
56	408000	432000	432000	552000	312000	312000	
57	405000	429000	429000	549000	309000	309000	
58	402000	426000	426000	546000	306000	306000	
59	399000	423000	423000	543000	303000	303000	
60	444000	540000	420000	540000	420000	3e+05	
61	441000	537000	417000	537000	417000	297000	
62	462000	534000	414000	534000	414000	414000	
63	459000	531000	411000	531000	411000	411000	
64	456000	528000	408000	528000	408000	408000	
65	453000	525000	405000	525000	405000	405000	
66	450000	522000	402000	522000	402000	402000	
67	447000	519000	399000	519000	399000	399000	
68	444000	516000	396000	516000	396000	396000	
69	465000	513000	513000	513000	393000	393000	
70	486000	510000	510000	510000	390000	510000	
71	483000	507000	507000	507000	387000	507000	
72	480000	504000	504000	504000	384000	504000	
73	525000	501000	621000	621000	381000	501000	
74	546000	618000	618000	618000	378000	498000	
75	543000	615000	615000	615000	375000	495000	
76	564000	612000	612000	612000	492000	492000	
77	585000	609000	609000	609000	489000	609000	
78	582000	606000	606000	606000	486000	606000	
