envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	21000	-3000	117000	-3000	-3000	-3000	
2	42000	-6000	114000	-6000	114000	-6000	
3	63000	-9000	111000	-9000	111000	111000	
4	60000	-12000	108000	-12000	108000	108000	
5	81000	-15000	105000	105000	105000	105000	
6	102000	102000	102000	102000	102000	102000	
7	99000	99000	99000	99000	99000	99000	
8	96000	96000	96000	96000	96000	96000	
9	93000	93000	93000	93000	93000	93000	
10	90000	90000	90000	90000	90000	90000	
11	87000	87000	87000	87000	87000	87000	
12	84000	84000	84000	84000	84000	84000	
13	81000	81000	81000	81000	81000	81000	
14	78000	78000	78000	78000	78000	78000	
15	75000	75000	75000	75000	75000	75000	
16	96000	72000	72000	72000	72000	192000	
17	93000	69000	69000	69000	69000	189000	
18	114000	66000	66000	186000	66000	186000	
19	135000	63000	63000	183000	183000	183000	
20	132000	60000	60000	180000	180000	180000	
21	177000	177000	177000	177000	177000	177000	
22	174000	174000	174000	174000	174000	174000	
23	171000	171000	171000	171000	171000	171000	
24	168000	168000	168000	168000	168000	168000	
25	165000	165000	165000	165000	165000	165000	
26	162000	162000	162000	162000	162000	162000	
27	159000	159000	159000	159000	159000	159000	
28	156000	156000	156000	156000	156000	156000	
29	153000	153000	153000	153000	153000	153000	
30	150000	150000	150000	150000	150000	150000	
31	147000	147000	147000	147000	147000	147000	
32	144000	144000	144000	144000	144000	144000	
33	141000	141000	141000	141000	141000	141000	
34	138000	138000	138000	138000	138000	138000	
35	135000	135000	135000	135000	135000	135000	
36	132000	132000	132000	132000	132000	132000	
37	129000	129000	129000	129000	129000	129000	
38	126000	126000	126000	126000	126000	126000	
39	123000	123000	123000	123000	123000	123000	
40	120000	120000	120000	120000	120000	120000	
41	141000	117000	117000	237000	117000	117000	
42	138000	114000	114000	234000	114000	114000	
43	135000	111000	111000	231000	111000	111000	
44	132000	108000	108000	228000	108000	108000	
45	129000	105000	105000	225000	105000	105000	
46	126000	102000	102000	222000	102000	102000	
47	147000	99000	99000	219000	219000	99000	
48	144000	96000	96000	216000	216000	96000	
49	141000	93000	93000	213000	213000	93000	
50	138000	90000	90000	210000	210000	90000	
51	183000	87000	87000	327000	207000	207000	
52	204000	84000	84000	324000	204000	324000	
53	225000	81000	81000	321000	321000	321000	
54	222000	78000	78000	318000	318000	318000	
55	243000	75000	195000	315000	315000	315000	
56	264000	72000	312000	312000	312000	312000	
57	285000	69000	309000	309000	429000	309000	
58	282000	66000	306000	306000	426000	306000	
59	279000	63000	303000	303000	423000	303000	
60	3e+05	60000	3e+05	420000	420000	3e+05	
61	321000	177000	297000	417000	417000	297000	
62	318000	174000	294000	414000	414000	294000	
63	315000	171000	291000	411000	411000	291000	
64	312000	168000	288000	408000	408000	288000	
65	333000	165000	405000	405000	405000	285000	
66	354000	162000	402000	402000	522000	282000	
67	351000	159000	399000	399000	519000	279000	
68	396000	276000	516000	396000	516000	276000	
69	393000	273000	513000	393000	513000	273000	
70	414000	270000	510000	510000	510000	270000	
71	459000	267000	507000	627000	627000	267000	
72	480000	384000	504000	624000	624000	264000	
73	525000	501000	501000	621000	621000	381000	
74	522000	498000	498000	618000	618000	378000	
75	543000	615000	495000	615000	615000	375000	
76	564000	612000	492000	732000	612000	372000	
77	561000	609000	489000	729000	609000	369000	
78	606000	606000	486000	846000	606000	486000	
79	651000	603000	603000	843000	603000	603000	
80	672000	6e+05	6e+05	840000	720000	6e+05	
81	717000	717000	597000	837000	717000	717000	
82	738000	714000	594000	954000	714000	714000	
83	735000	711000	591000	951000	711000	711000	
84	732000	708000	588000	948000	708000	708000	
85	729000	705000	585000	945000	705000	705000	
86	726000	702000	582000	942000	702000	702000	
87	747000	699000	579000	1059000	699000	699000	
88	768000	816000	576000	1056000	696000	696000	
89	789000	813000	573000	1053000	693000	813000	
90	810000	810000	690000	1050000	690000	810000	
91	831000	807000	807000	1047000	687000	807000	
92	876000	804000	804000	1044000	804000	924000	
93	873000	801000	801000	1041000	801000	921000	
94	870000	798000	798000	1038000	798000	918000	
95	867000	795000	795000	1035000	795000	915000	
96	912000	912000	792000	1032000	912000	912000	
97	909000	909000	789000	1029000	909000	909000	
98	906000	906000	786000	1026000	906000	906000	
99	903000	903000	783000	1023000	903000	903000	
100	924000	9e+05	780000	1020000	9e+05	1020000	
101	945000	897000	777000	1137000	897000	1017000	
102	990000	894000	894000	1134000	1014000	1014000	
103	987000	891000	891000	1131000	1011000	1011000	
104	984000	888000	888000	1128000	1008000	1008000	
105	981000	885000	885000	1125000	1005000	1005000	
106	978000	882000	882000	1122000	1002000	1002000	
107	975000	879000	879000	1119000	999000	999000	
108	972000	876000	876000	1116000	996000	996000	
109	969000	873000	873000	1113000	993000	993000	
110	990000	870000	870000	1110000	990000	1110000	
111	1011000	867000	867000	1227000	987000	1107000	
112	1032000	864000	864000	1224000	984000	1224000	
113	1053000	981000	861000	1221000	981000	1221000	
114	1074000	978000	978000	1218000	978000	1218000	
115	1071000	975000	975000	1215000	975000	1215000	
116	1068000	972000	972000	1212000	972000	1212000	
117	1065000	969000	969000	1209000	969000	1209000	
118	1062000	966000	966000	1206000	966000	1206000	
119	1059000	963000	963000	1203000	963000	1203000	
120	1056000	960000	960000	1200000	960000	1200000	
121	1101000	957000	1077000	1197000	957000	1317000	
122	1122000	954000	1074000	1194000	1074000	1314000	
123	1143000	951000	1071000	1311000	1071000	1311000	
124	1188000	1068000	1068000	1308000	1188000	1308000	
125	1233000	1065000	1185000	1305000	1305000	1305000	
126	1254000	1062000	1302000	1302000	1302000	1302000	
127	1275000	1179000	1299000	1299000	1299000	1299000	
128	1296000	1176000	1296000	1416000	1296000	1296000	
129	1293000	1173000	1293000	1413000	1293000	1293000	
